"","...1","program","parent_project","project","station_name","year","month","date","collection_time","collection_depth","unit_collection_depth","collection_replicate","lab_replicate","tox_batch","matrix_name","method_name","tox_test_dur_code","organism_name","analyte","unit","wq_source","time_point_name","result","result_qual_code","tox_result_qa_code","qa_code","sample_agency","group_samples","collection_method_name","latitude","longitude","collection_device_description","position_water_column","tie_narrative","dilution","tox_point_method","treatment","unit_treatment","treatment_concentration","lab_agency","submitting_agency","tox_batch_start_date","ref_tox_batch","organism_age_at_test_start","occupation_method","starting_bank","distance_from_bank","unit_distance_from_bank","stream_width","unit_stream_width","station_water_depth","unit_station_water_depth","hydro_mod","hydro_mod_loc","pct_control","rep_count","mean","std_dev","stat_method","probability","alphalevel","eval_threshold","msd","sig_effect_code","channel_width","upstream_length","downstream_length","total_reach","calculated_value","percent_effect","dw_analyte_name","data_quality","data_quality_indicator","datum","year_num"
"11",23362,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:00:00,-88,"cm",1,NA,"SRWP_UCD-ATL_CD_102198","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0,-88,"NR","Probability",0.05,-88,-88,"NR",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"12",23363,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:00:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_102198","samplewater","Not Recorded","7 days","Pimephales promelas","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,17.5,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"13",23364,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:00:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_102198","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","Oxygen, Dissolved, Not Recorded","mg/L","overlyingwater","initial",8.1,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxygen, Dissolved","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"14",23365,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:00:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_102198","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","pH","none","overlyingwater","initial",7.82,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"15",23366,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:00:00,-88,"cm",1,0,"SRWP_UCD-ATL_PP_102198","samplewater","Not Recorded","7 days","Pimephales promelas","Oxygen, Dissolved, Not Recorded","mg/L","overlyingwater","initial",8.1,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxygen, Dissolved","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"16",23367,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:05:00,-88,"cm",1,NA,"SRWP_UCD-ATL_CD_102198","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0,-88,"NR","Probability",0.05,-88,-88,"NR",NA,NA,NA,NA,-88,-88,"Mortality/Normality","MetaData",NA,"NAD83",1998
"17",23368,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:05:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_102198","samplewater","Not Recorded","7 days","Pimephales promelas","Growth (wt/surv indiv)","mg/ind","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0.376,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Growth (wt/surv indiv)","MetaData",NA,"NAD83",1998
"18",23369,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","10","20",1899-12-30 16:05:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_102198","samplewater","Not Recorded","7 days","Pimephales promelas","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Oct 21 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,7.5,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Mortality/Normality","MetaData",NA,"NAD83",1998
"19",23370,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","11","16",1899-12-30 11:50:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_111898","samplewater","Not Recorded","6 days","Ceriodaphnia dubia","Oxygen, Dissolved, Not Recorded","mg/L","overlyingwater","initial",8.3,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Nov 18 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxygen, Dissolved","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"20",23371,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","11","16",1899-12-30 11:50:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_111898","samplewater","Not Recorded","6 days","Ceriodaphnia dubia","pH","none","overlyingwater","initial",7.85,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Nov 18 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"21",23372,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","12","14",1899-12-30 12:15:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_121698","samplewater","Not Recorded","7 days","Pimephales promelas","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Dec 16 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,5,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"22",23373,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","12","14",1899-12-30 12:15:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_121698","samplewater","Not Recorded","6 days","Ceriodaphnia dubia","pH","none","overlyingwater","Day 1",8.01,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Dec 16 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"23",23374,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","12","14",1899-12-30 12:15:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_121698","samplewater","Not Recorded","6 days","Ceriodaphnia dubia","pH","none","overlyingwater","initial",8.13,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Dec 16 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"24",23375,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","12","14",1899-12-30 12:15:00,-88,"cm",1,0,"SRWP_UCD-ATL_PP_121698","samplewater","Not Recorded","7 days","Pimephales promelas","Oxygen, Dissolved, Not Recorded","mg/L","overlyingwater","initial",8.2,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Dec 16 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxygen, Dissolved","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"25",23376,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","12","14",1899-12-30 12:15:00,-88,"cm",1,0,"SRWP_UCD-ATL_PP_121698","samplewater","Not Recorded","7 days","Pimephales promelas","pH","none","overlyingwater","Day 1",7.69,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Dec 16 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"26",23377,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","12","14",1899-12-30 12:15:00,-88,"cm",1,0,"SRWP_UCD-ATL_PP_121698","samplewater","Not Recorded","7 days","Pimephales promelas","pH","none","overlyingwater","initial",8.13,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Dec 16 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"27",23378,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","Arcade Creek at Norwood Ave.","1998","06","23",1899-12-30 10:45:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_062598","samplewater","Not Recorded","7 days","Pimephales promelas","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.62445,-121.45586,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Jun 25 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"28",23379,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","Arcade Creek at Norwood Ave.","1998","06","23",1899-12-30 10:45:00,-88,"cm",1,0,"SRWP_UCD-ATL_SC_062598","samplewater","Not Recorded","4 days","Selenastrum capricornutum","pH","none","overlyingwater","Day 4",8.58,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.62445,-121.45586,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Jun 25 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"29",23380,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","Arcade Creek at Norwood Ave.","1998","07","21",1899-12-30 11:00:00,-88,"cm",1,NA,"SRWP_UCD-ATL_SC_072398","samplewater","Not Recorded","4 days","Selenastrum capricornutum","Total Cell Count","cells/ml","not applicable","Day 4",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.62445,-121.45586,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Jul 23 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,1544000,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Total Cell Count","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"30",23381,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","Arcade Creek at Norwood Ave.","1998","08","18",1899-12-30 08:30:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_082098","samplewater","Not Recorded","7 days","Pimephales promelas","Growth (wt/surv indiv)","mg/ind","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.62445,-121.45586,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Aug 20 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0.391,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Growth (wt/surv indiv)","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
